,Average account balance,TN debtor transactions,TN creditor transactions,TN transactions,average debtor transaction,average creditor transaction,DBNCD,DFACD,Label
5581,0.6013478669112815,9.053436081571899e-07,1.4639598770201367e-07,1.0517395958592035e-06,0.09496680369295082,0.6064345187848198,-7.589476204551761e-07,0.511467715091869,0
5582,0.9979118631433392,9.591267837793689e-08,1.1573463190937717e-06,1.2532589974717088e-06,0.04844039129420622,0.0061618716573192045,1.061433640715835e-06,-0.042278519636887016,2
5583,0.6386569072268171,2.0468564497385856e-08,9.456476797792265e-07,9.661162442766124e-07,0.5513332787488573,0.014740616846160001,9.251791152818407e-07,-0.5365926619026973,1
5584,0.7780302459155923,1.1222570765351e-06,2.1447579684893022e-07,1.3367328733840303e-06,0.08771098441501886,0.48153637553235207,-9.077812796861698e-07,0.3938253911173332,2
5585,0.8204269637659884,6.734594496579135e-07,1.2043349064585657e-05,1.271680851424357e-05,0.41513549973133373,0.022644290045856726,1.1369889614927743e-05,-0.392491209685477,2
5586,0.35157917041137027,6.765696453991624e-09,2.2552321513305413e-09,9.020928605322165e-09,0.5638351006184513,0.7288666838237252,-4.5104643026610825e-09,0.1650315832052739,0
5587,0.03356993278789777,2.1537176887662925e-09,4.307435377532585e-10,2.584461226519551e-09,0.10620823682328065,0.7538011910682023,-1.722974151013034e-09,0.6475929542449217,0
5588,0.7236103580705279,4.181218132630503e-08,2.415814921075402e-07,2.833936734338452e-07,0.5196049483457725,0.07085261815978564,1.9976931078123514e-07,-0.44875233018598687,2
5589,0.08135618327044768,1.0975735287244556e-08,7.317156858163037e-09,1.829289214540759e-08,0.4709628826410737,0.8102301325784118,-3.6585784290815183e-09,0.3392672499373381,0
5590,0.18011096448515443,2.7794345038995403e-08,4.6323908398325675e-09,3.242673587882797e-08,0.1653060819291778,0.7633037918596647,-2.3161954199162835e-08,0.597997709930487,0
5591,0.643487005630018,3.559603692166025e-07,4.925498132183221e-07,8.485101824349246e-07,0.5135342895666017,0.565270202906874,1.3658944400171956e-07,0.05173591334027229,1
5592,0.01911041348151,1.4756843299602784e-09,8.608158591434957e-10,2.3365001891037744e-09,0.528381071711694,0.8031037740870897,-6.148684708167827e-10,0.2747227023753956,0
5593,0.08867586103294037,3.4264634735336665e-09,6.281849701478389e-09,9.708313175012055e-09,0.7353544682095513,0.6685237903393769,2.855386227944722e-09,-0.06683067787017441,1
5594,0.12315417182456018,6.662672114173601e-08,5.2349566611364006e-08,1.1897628775310001e-07,0.6601163324616367,0.7369996186464466,-1.4277154530372002e-08,0.07688328618480994,1
5595,0.9999356545346211,1.932875860220618e-08,4.1234685018039855e-07,4.316756087826047e-07,0.008894244243356787,0.006686030216847742,3.9301809157819233e-07,-0.002208214026509045,2
5596,0.08066369213575367,8.836301474448913e-09,8.316519034775447e-09,1.715282050922436e-08,0.6858150333708084,0.7223676455361987,-5.197824396734654e-10,0.03655261216539022,1
5597,0.9905139515414588,7.668735313288365e-08,1.9171838283220914e-08,9.585919141610457e-08,0.022714372217517906,0.10651021481476489,-5.751551484966274e-08,0.08379584259724697,2
5598,0.726171214200953,2.8111251216895786e-08,2.3426042680746487e-08,5.153729389764227e-08,0.560318144463703,0.30966104795415805,-4.685208536149298e-09,-0.2506570965095449,2
5599,0.9154548411919136,1.7730013999788924e-06,1.9030215026440111e-06,3.6760229026229037e-06,0.29947675632971604,0.2668130174881149,1.3002010266511877e-07,-0.03266373884160114,2
5600,0.8631257057136223,8.361165276140133e-08,3.95761823070633e-07,4.793734758320344e-07,0.36641455100964493,0.019462685749204643,3.1215017030923165e-07,-0.3469518652604403,2
5601,0.4928888713709566,6.686457283856232e-08,1.2736109112107108e-08,7.960068195066942e-08,0.1507806752160689,0.6766217167170803,-5.412846372645521e-08,0.5258410415010114,0
5602,0.42885348408061913,4.6844268404974357e-07,2.4669466793152177e-07,7.151373519812653e-07,0.290915030867672,0.732457241334098,-2.217480161182218e-07,0.44154221046642594,0
5603,0.22716524243904423,5.580235917324576e-08,2.790117958662288e-08,8.370353875986864e-08,0.37655891164782906,0.7947862701778433,-2.790117958662288e-08,0.4182273585300142,0
5604,0.6332387288264726,7.044424532157151e-07,2.1419965292547617e-06,2.8464389824704765e-06,0.6201580925453449,0.20492529532968637,1.4375540760390466e-06,-0.4152327972156586,1
5605,0.5777403380233478,1.644602356178429e-07,1.6072250299016465e-07,3.2518273860800754e-07,0.5640482272711126,0.5894249088435243,-3.7377326276782475e-09,0.025376681572411616,1
5606,0.16620209791787804,7.099182769794406e-08,2.689084382497881e-08,9.788267152292286e-08,0.24397598574002227,0.7864766836018232,-4.410098387296524e-08,0.5425006978618009,0
5607,0.8277029717510695,1.8214823504578647e-07,1.232179237074438e-07,3.0536615875323027e-07,0.3463234269398135,0.4329673297326221,-5.893031133834269e-08,0.08664390279280859,2
5608,0.33549713572555734,2.4762730860092173e-07,6.733725058446117e-08,3.149645591853829e-07,0.24968850184131208,0.7548939116586455,-1.8029005801646056e-07,0.5052054098173334,0
5609,0.9999072817003903,1.943994485426859e-08,1.2959963236179058e-08,3.239990809044765e-08,0.011089406382430009,0.004849864482279692,-6.479981618089529e-09,-0.0062395419001503175,2
5610,0.5363628727676786,3.3718573816168103e-07,1.1123653217704942e-07,4.4842227033873045e-07,0.26724627607203927,0.6837067728609734,-2.2594920598463163e-07,0.41646049678893404,0
5611,0.9654536752648705,2.5030533115979507e-08,5.444140952725543e-07,5.694446283885338e-07,0.18616459005009758,0.00388218562522219,5.193835621565748e-07,-0.1822824044248754,2
5612,0.7535291251748345,6.5934833629686e-07,2.490871492677027e-07,9.084354855645626e-07,0.1695767680751601,0.5258436170331391,-4.1026118702915735e-07,0.35626684895797894,2
5613,0.8069960108693064,1.5692689448372203e-08,1.046179296558147e-08,2.6154482413953672e-08,0.38014668198237983,0.4469684447862081,-5.230896482790735e-09,0.0668217628038283,2
5614,0.152298566919326,6.515864505585745e-08,1.1847026373792263e-08,7.700567142964971e-08,0.21070699847914112,0.7799678289503221,-5.3311618682065186e-08,0.569260830471181,0
5615,0.03453951334249061,5.375808213626268e-09,2.4639120979120397e-09,7.839720311538309e-09,0.36974886304959753,0.8148489109397821,-2.9118961157142287e-09,0.4451000478901846,0
5616,0.33824686009189436,2.435603037459367e-07,1.1190608550488983e-07,3.5546638925082654e-07,0.3582782819863885,0.7678003638638203,-1.3165421824104685e-07,0.40952208187743183,0
5617,0.6991687666745949,1.0484740244401132e-06,6.790117491612162e-06,7.838591516052275e-06,0.5239600743732981,0.039087915007327965,5.741643467172049e-06,-0.48487215936597017,2
